t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0475,0.7711
0.0327,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0472,0.7711
0.0654,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0472,0.7711
0.0981,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0472,0.7711
0.1308,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0266,0.6827
0.1635,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0329,0.6734
0.1962,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0432,0.6835
0.2288,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0437,0.6849
0.2615,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0084,0.5051
0.2942,0.0000,0.9989,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0440,0.4365
0.3269,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0245,0.6317
0.3596,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.7149
0.3923,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0166,0.7690
0.4250,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0525,0.7602
0.4577,0.0000,0.9997,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0230,0.4377
0.4904,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0197,0.5172
0.5231,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0322,0.6911
0.5558,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0013,0.6365
0.5885,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0322,0.6858
0.6211,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0491,0.7166
0.6538,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0524,0.7065
0.6865,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0200,0.5131
0.7192,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,-0.0101,0.4880
0.7519,0.0004,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0548,0.4398
0.7846,0.0002,0.9997,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0359,0.4396
0.8173,0.0009,0.9990,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0452,0.3928
0.8500,0.0002,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0383,0.4335
0.8827,0.0001,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,-0.0185,0.4157
0.9154,0.0002,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,-0.0250,0.3966
0.9481,0.0002,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0809,0.4859
0.9808,0.0001,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,-0.0215,0.4375
1.0134,0.0006,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0608,0.4441
1.0461,0.0010,0.9989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0634,0.4313
1.0788,0.0059,0.9941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0980,0.4149
1.1115,0.0049,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0924,0.4328
1.1442,0.0008,0.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0810,0.4803
1.1769,0.0002,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0830,0.5133
1.2096,0.0004,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,-0.0398,0.3593
1.2423,0.0000,0.9986,0.0002,0.0000,0.0000,0.0012,0.0000,0.0000,-0.0917,0.2493
1.2750,0.0001,0.9953,0.0011,0.0000,0.0000,0.0035,0.0000,0.0000,-0.0760,0.1537
1.3077,0.0001,0.9943,0.0011,0.0000,0.0000,0.0045,0.0000,0.0000,-0.0748,0.1456
1.3404,0.0002,0.9990,0.0001,0.0000,0.0000,0.0006,0.0000,0.0000,-0.0769,0.2736
1.3731,0.0004,0.9993,0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,-0.1078,0.2969
1.4057,0.0007,0.9989,0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,-0.1013,0.2888
1.4384,0.0006,0.9993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0568,0.3752
1.4711,0.0005,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0511,0.4049
1.5038,0.0037,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0471,0.3031
1.5365,0.0036,0.9961,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,-0.0351,0.2803
1.5692,0.0013,0.9986,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0060,0.3536
1.6019,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0272,0.4643
1.6346,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0117,0.5450
1.6673,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.5595
1.7000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.5731
1.7327,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0345,0.6165
1.7654,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0265,0.5897
1.7980,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0072,0.5716
1.8307,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0174,0.5916
1.8634,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0273,0.5884
1.8961,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0056,0.5463
1.9288,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0040,0.5578
1.9615,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,0.5252
1.9942,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0198,0.6026
2.0269,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0069,0.5431
2.0596,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,0.5314
2.0923,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0726,0.5299
2.1250,0.0000,0.9842,0.0000,0.0002,0.0001,0.0152,0.0002,0.0000,0.3374,0.2762
2.1577,0.0000,0.4678,0.0000,0.4972,0.0090,0.0226,0.0033,0.0000,0.5841,0.2552
2.1903,0.0000,0.0018,0.0007,0.0016,0.0170,0.9780,0.0008,0.0000,0.5424,-0.2250
2.2230,0.0000,0.0008,0.0016,0.0000,0.0000,0.9974,0.0002,0.0000,0.3538,-0.5675
2.2557,0.0000,0.0018,0.0001,0.0000,0.0000,0.9969,0.0010,0.0001,0.4116,-0.5196
2.2884,0.0003,0.0213,0.0004,0.0002,0.0000,0.9765,0.0004,0.0009,0.3556,-0.3694
2.3211,0.0061,0.3566,0.0013,0.0000,0.0000,0.6333,0.0002,0.0025,0.2077,-0.2448
2.3538,0.1592,0.1595,0.0056,0.0000,0.0000,0.6634,0.0002,0.0121,0.1757,-0.3095
2.3865,0.8492,0.1109,0.0006,0.0000,0.0000,0.0379,0.0000,0.0015,0.0434,-0.1690
2.4192,0.0035,0.8596,0.0000,0.0000,0.0000,0.0003,0.0000,0.1366,0.1933,0.0359
2.4519,0.0914,0.8195,0.0000,0.0000,0.0000,0.0858,0.0000,0.0032,0.1932,-0.0984
2.4846,0.3110,0.4138,0.0000,0.0000,0.0000,0.2707,0.0000,0.0044,0.1921,-0.1640
2.5173,0.3131,0.6528,0.0000,0.0000,0.0000,0.0328,0.0000,0.0012,0.1315,-0.0477
2.5500,0.2083,0.7588,0.0000,0.0000,0.0000,0.0312,0.0000,0.0017,0.1045,-0.0637
2.5826,0.0348,0.9602,0.0000,0.0000,0.0000,0.0047,0.0000,0.0003,0.0570,0.0585
2.6153,0.0169,0.9809,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0648,0.1683
2.6480,0.0003,0.9995,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0401,0.3621
2.6807,0.0007,0.9986,0.0000,0.0000,0.0000,0.0007,0.0000,0.0001,0.0764,0.2954
2.7134,0.0006,0.9992,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0468,0.3439
2.7461,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0230,0.4458
2.7788,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.4880
2.8115,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0270,0.5420
2.8442,0.0002,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.4728
2.8769,0.0003,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0179,0.4762
2.9096,0.0314,0.9683,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0411,0.2633
2.9423,0.5142,0.4585,0.0000,0.0000,0.0000,0.0024,0.0000,0.0249,0.1367,-0.0043
2.9750,0.0576,0.9263,0.0000,0.0000,0.0000,0.0001,0.0000,0.0160,0.0761,0.1164
3.0076,0.5084,0.4743,0.0000,0.0000,0.0000,0.0006,0.0000,0.0168,0.0543,0.0088
3.0403,0.0243,0.9123,0.0000,0.0000,0.0000,0.0003,0.0000,0.0632,0.1107,0.0376
3.0730,0.0244,0.9541,0.0000,0.0000,0.0000,0.0007,0.0000,0.0208,0.1160,0.0629
3.1057,0.0247,0.9587,0.0000,0.0000,0.0000,0.0021,0.0000,0.0146,0.1233,0.0647
3.1384,0.0157,0.9729,0.0000,0.0000,0.0000,0.0022,0.0000,0.0093,0.1044,0.0950
3.1711,0.0451,0.9515,0.0000,0.0000,0.0000,0.0026,0.0000,0.0009,0.0899,0.1496
3.2038,0.0306,0.9682,0.0000,0.0000,0.0000,0.0008,0.0000,0.0003,0.0524,0.2006
3.2365,0.0573,0.9407,0.0000,0.0000,0.0000,0.0018,0.0000,0.0002,0.0473,0.1624
3.2692,0.0103,0.9893,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0289,0.2934
3.3019,0.0133,0.9867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0066,0.3700
3.3346,0.0206,0.9788,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0374,0.2812
3.3673,0.0034,0.9963,0.0000,0.0000,0.0000,0.0003,0.0000,0.0001,0.0444,0.3259
3.3999,0.0005,0.9993,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0612,0.3512
3.4326,0.0003,0.7496,0.0000,0.0000,0.0000,0.2501,0.0000,0.0000,0.1282,0.0477
3.4653,0.0001,0.9881,0.0000,0.0000,0.0000,0.0117,0.0000,0.0000,0.0623,0.2272
3.4980,0.0000,0.9819,0.0000,0.0000,0.0000,0.0181,0.0000,0.0000,0.0845,0.2374
3.5307,0.0001,0.9642,0.0000,0.0000,0.0000,0.0358,0.0000,0.0000,0.0781,0.1809
3.5634,0.0000,0.9912,0.0000,0.0000,0.0000,0.0087,0.0000,0.0000,0.0488,0.2589
3.5961,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029,0.5140
3.6288,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0175,0.5369
3.6615,0.0000,0.9998,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0292,0.4767
3.6942,0.0000,0.9998,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0415,0.4625
3.7269,0.0001,0.9979,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0427,0.2990
3.7596,0.0012,0.9915,0.0000,0.0000,0.0000,0.0073,0.0000,0.0000,0.0233,0.1597
3.7922,0.0104,0.9845,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.0051,0.1204
3.8249,0.0052,0.9810,0.0000,0.0000,0.0000,0.0138,0.0000,0.0000,0.0405,0.0853
3.8576,0.0017,0.9948,0.0000,0.0000,0.0000,0.0034,0.0000,0.0000,0.1003,0.1911
3.8903,0.0023,0.9946,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0754,0.1915
3.9230,0.0005,0.9987,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0720,0.2871
3.9557,0.0010,0.9984,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0816,0.3008
3.9884,0.0134,0.9851,0.0000,0.0000,0.0000,0.0014,0.0001,0.0000,0.0808,0.2344
4.0211,0.0221,0.9770,0.0000,0.0000,0.0000,0.0007,0.0000,0.0001,0.0448,0.2046
4.0538,0.1539,0.8447,0.0000,0.0000,0.0000,0.0011,0.0000,0.0003,0.0191,0.1375
4.0865,0.8616,0.1354,0.0000,0.0000,0.0000,0.0004,0.0001,0.0025,0.0009,0.0132
4.1192,0.6259,0.3713,0.0001,0.0000,0.0000,0.0006,0.0000,0.0022,-0.0152,0.0205
4.1519,0.7127,0.2772,0.0004,0.0000,0.0000,0.0094,0.0001,0.0001,0.0070,-0.0159
4.1845,0.0977,0.8788,0.0018,0.0000,0.0000,0.0214,0.0002,0.0001,0.1031,0.0293
4.2172,0.0623,0.9314,0.0002,0.0000,0.0000,0.0054,0.0001,0.0006,0.0362,0.0697
4.2499,0.2931,0.7001,0.0004,0.0000,0.0000,0.0056,0.0001,0.0007,0.0155,0.0039
4.2826,0.2381,0.7425,0.0009,0.0000,0.0000,0.0087,0.0001,0.0096,0.0599,-0.0527
4.3153,0.3414,0.6078,0.0007,0.0000,0.0000,0.0452,0.0005,0.0044,0.0947,-0.1674
4.3480,0.1296,0.8527,0.0000,0.0000,0.0000,0.0141,0.0000,0.0036,0.1178,-0.0770
4.3807,0.0540,0.9236,0.0000,0.0000,0.0000,0.0197,0.0000,0.0026,0.1339,-0.0192
4.4134,0.0674,0.9262,0.0000,0.0000,0.0000,0.0045,0.0001,0.0018,0.1118,0.1035
4.4461,0.0197,0.9799,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0084,0.3152
4.4788,0.0023,0.9976,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0090,0.3555
4.5115,0.0081,0.9899,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0781,0.1908
4.5442,0.0530,0.9465,0.0000,0.0000,0.0000,0.0002,0.0000,0.0003,0.0277,0.1874
4.5768,0.1139,0.8853,0.0000,0.0000,0.0000,0.0002,0.0000,0.0007,0.0154,0.1367
4.6095,0.0498,0.9496,0.0000,0.0000,0.0000,0.0002,0.0000,0.0004,0.0207,0.1501
4.6422,0.2699,0.7287,0.0000,0.0000,0.0000,0.0011,0.0000,0.0003,0.0474,0.1143
4.6749,0.0043,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0370,0.4042
4.7076,0.0029,0.9969,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0098,0.2965
4.7403,0.0023,0.9977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0378,0.3952
4.7730,0.0008,0.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0411,0.4481
4.8057,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0321,0.5074
4.8384,0.0039,0.9956,0.0000,0.0000,0.0000,0.0004,0.0000,0.0001,-0.0163,0.2842
4.8711,0.0234,0.9758,0.0000,0.0000,0.0000,0.0001,0.0000,0.0007,-0.0071,0.2294
4.9038,0.0087,0.9897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0081,0.2469
4.9365,0.0105,0.9842,0.0000,0.0000,0.0000,0.0001,0.0000,0.0052,0.0289,0.1851
4.9691,0.0099,0.9887,0.0000,0.0000,0.0000,0.0001,0.0000,0.0013,0.0259,0.2337
5.0018,0.0010,0.9985,0.0000,0.0000,0.0000,0.0003,0.0000,0.0002,0.0182,0.3186
5.0345,0.0006,0.9992,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,-0.0104,0.3927
5.0672,0.0012,0.9987,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0067,0.3671
5.0999,0.0006,0.9993,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0175,0.4055
5.1326,0.0007,0.9991,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0085,0.3855
5.1653,0.0044,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,-0.0072,0.3150
5.1980,0.0043,0.9954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,-0.0407,0.3468
5.2307,0.0213,0.9785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,-0.0678,0.3201
5.2634,0.0381,0.9617,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,-0.0601,0.2973
5.2961,0.0666,0.9332,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,-0.0577,0.2708
5.3288,0.1882,0.8117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0692,0.2687
5.3614,0.2203,0.7795,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,-0.0282,0.2309
5.3941,0.1008,0.8990,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,-0.0479,0.2549
5.4268,0.0126,0.9873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0224,0.3521
5.4595,0.0050,0.8531,0.0000,0.1418,0.0000,0.0000,0.0000,0.0000,0.2555,0.3730
5.4922,0.0000,0.2597,0.0000,0.7403,0.0000,0.0000,0.0000,0.0000,0.4480,0.4606
5.5249,0.0000,0.0671,0.0000,0.9328,0.0000,0.0000,0.0000,0.0001,0.5122,0.4088
5.5576,0.0000,0.0169,0.0000,0.9830,0.0000,0.0000,0.0000,0.0000,0.5761,0.4051
5.5903,0.0000,0.0489,0.0000,0.9499,0.0005,0.0007,0.0000,0.0000,0.5430,0.2466
5.6230,0.0006,0.0306,0.0001,0.0985,0.0005,0.8696,0.0002,0.0000,0.4634,-0.1518
5.6557,0.0012,0.0015,0.0000,0.0025,0.0000,0.9948,0.0000,0.0000,0.3916,-0.3446
5.6884,0.0222,0.1450,0.0000,0.0064,0.0000,0.8256,0.0001,0.0007,0.3399,-0.2081
5.7211,0.0000,0.0020,0.0001,0.0004,0.0002,0.9973,0.0001,0.0000,0.4273,-0.3699
5.7538,0.0000,0.0552,0.0005,0.0095,0.0213,0.9132,0.0002,0.0000,0.4639,-0.0734
5.7864,0.0000,0.0081,0.0010,0.0004,0.0123,0.9771,0.0010,0.0000,0.4883,-0.2381
5.8191,0.0000,0.0041,0.0004,0.0000,0.0001,0.9953,0.0001,0.0000,0.3677,-0.4187
5.8518,0.0000,0.0072,0.0001,0.0000,0.0000,0.9916,0.0010,0.0000,0.3805,-0.4394
5.8845,0.0001,0.0192,0.0000,0.0000,0.0000,0.9801,0.0004,0.0002,0.3372,-0.4109
5.9172,0.0004,0.0279,0.0000,0.0000,0.0000,0.9705,0.0008,0.0003,0.3284,-0.3861
5.9499,0.0004,0.0270,0.0000,0.0000,0.0000,0.9682,0.0013,0.0031,0.3732,-0.4086
5.9826,0.0005,0.0298,0.0000,0.0000,0.0000,0.9668,0.0010,0.0018,0.3607,-0.3942
6.0153,0.0010,0.0025,0.0000,0.0000,0.0000,0.9947,0.0013,0.0004,0.3887,-0.5205
6.0480,0.0030,0.0086,0.0000,0.0001,0.0000,0.9864,0.0013,0.0006,0.3674,-0.4516
6.0807,0.0010,0.0321,0.0000,0.0001,0.0000,0.9614,0.0008,0.0046,0.3638,-0.3788
6.1134,0.0003,0.0251,0.0000,0.0001,0.0000,0.9730,0.0005,0.0010,0.3654,-0.4058
6.1461,0.0003,0.0205,0.0000,0.0001,0.0000,0.9671,0.0009,0.0110,0.4008,-0.4169
6.1787,0.0001,0.0062,0.0000,0.0004,0.0000,0.9923,0.0003,0.0007,0.4176,-0.4338
6.2114,0.0005,0.0174,0.0000,0.0014,0.0000,0.9784,0.0004,0.0020,0.4039,-0.3379
6.2441,0.0001,0.0025,0.0001,0.0007,0.0000,0.9964,0.0001,0.0001,0.4079,-0.4144
6.2768,0.0001,0.0106,0.0001,0.0008,0.0000,0.9882,0.0001,0.0002,0.4017,-0.3627
6.3095,0.0002,0.0450,0.0000,0.0068,0.0000,0.9409,0.0001,0.0071,0.4201,-0.2347
6.3422,0.0120,0.8125,0.0000,0.0008,0.0000,0.1722,0.0001,0.0024,0.2345,-0.0122
6.3749,0.0021,0.9329,0.0000,0.0002,0.0000,0.0637,0.0000,0.0011,0.1947,0.0808
6.4076,0.0018,0.9973,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0855,0.2706
6.4403,0.0006,0.9990,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0659,0.3235
6.4730,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.4716
6.5057,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0096,0.5060
6.5384,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0231,0.5331
6.5710,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,0.4890
6.6037,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0064,0.5562
6.6364,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0157,0.4626
6.6691,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0050,0.5296
6.7018,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0060,0.5264
6.7345,0.0001,0.9998,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0368,0.4284
6.7672,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0271,0.5620
6.7999,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0410,0.5782
6.8326,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0417,0.6136
6.8653,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0356,0.6176
6.8980,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0402,0.6210
6.9307,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0663,0.7574
6.9633,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0301,0.7874
6.9960,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0093,0.7148
7.0287,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0115,0.7352
7.0614,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0180,0.7018
7.0941,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0317,0.7605
7.1268,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0437,0.7626
7.1595,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0376,0.7649
7.1922,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0349,0.7524
7.2249,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0455,0.7524
7.2576,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0222,0.7142
7.2903,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0155,0.7201
7.3230,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0181,0.6722
7.3556,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,0.6359
7.3883,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0523,0.5414
7.4210,0.0001,0.9988,0.0000,0.0002,0.0000,0.0000,0.0000,0.0009,0.0897,0.3427
7.4537,0.0002,0.9978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0601,0.3249
7.4864,0.0037,0.9954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0213,0.2961
7.5191,0.0024,0.9962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0394,0.2932
7.5518,0.0038,0.9938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.0594,0.2539
7.5845,0.0054,0.9932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0693,0.2569
7.6172,0.0036,0.9942,0.0000,0.0008,0.0000,0.0000,0.0000,0.0014,0.1055,0.2487
7.6499,0.0038,0.9902,0.0000,0.0041,0.0000,0.0001,0.0000,0.0018,0.1544,0.2222
7.6826,0.0004,0.9989,0.0000,0.0003,0.0000,0.0000,0.0000,0.0003,0.0788,0.3344
7.7153,0.0001,0.9992,0.0000,0.0001,0.0000,0.0000,0.0000,0.0007,0.0744,0.3605
7.7479,0.0000,0.9991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0743,0.4264
7.7806,0.0000,0.9990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0806,0.4310
7.8133,0.0000,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0620,0.4728
7.8460,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0519,0.4713
7.8787,0.0000,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0401,0.4595
7.9114,0.0000,0.9972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027,0.1173,0.3166
7.9441,0.0000,0.9972,0.0000,0.0000,0.0000,0.0003,0.0000,0.0024,0.1518,0.2560
7.9768,0.0002,0.9992,0.0000,0.0000,0.0000,0.0002,0.0001,0.0003,0.1510,0.2629
8.0095,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.1834,0.4210
8.0422,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1704,0.5841
